user_id,subscription_id,plan,status,sub_start,sub_end
31,8368,Annual,1,2022-03-31,NULL
182,8246,Monthly,3,2022-03-26,2022-06-08
182,9415,Monthly,3,2022-07-13,2022-08-13
221,4629,Monthly,3,2021-06-10,2021-07-10
235,6429,Annual,1,2021-11-28,NULL
520,850,Annual,3,2020-11-27,2021-11-29
523,1225,Annual,3,2020-09-30,2021-12-30
591,3287,Annual,1,2021-02-06,NULL
594,3746,Annual,3,2021-03-18,2022-03-27
595,3887,Annual,3,2021-03-25,2022-03-25
608,644,Annual,3,2020-12-01,2022-03-10
610,3543,Monthly,3,2021-03-04,2021-04-04
616,1938,Annual,3,2020-06-06,2021-06-07
616,4522,Annual,1,2021-06-02,NULL
618,382,Monthly,3,2021-01-04,2021-05-13
618,280,Annual,3,2021-01-13,2022-01-22
618,8904,Annual,1,2022-05-29,NULL
626,5366,Annual,3,2021-09-05,2022-01-09
659,3218,Annual,3,2021-01-30,2022-02-08
666,3209,Annual,3,2021-01-29,2022-02-07
674,1260,Monthly,1,2020-09-26,NULL
691,187,Annual,3,2021-01-16,2022-01-16
698,1381,Annual,3,2020-09-19,2021-12-19
702,3569,Quarter,3,2021-03-06,2021-06-06
709,2673,Annual,3,2020-04-18,2021-04-18
709,5215,Annual,1,2021-08-23,NULL
767,1127,Monthly,3,2020-10-20,2021-03-24
768,1683,Annual,3,2020-07-10,2022-07-10
768,9486,Annual,1,2022-07-20,NULL
772,304,Annual,3,2021-01-11,2022-01-20
773,477,Annual,3,2020-12-25,2021-12-25
780,2942,Annual,3,2020-04-14,2021-04-14
782,2499,Annual,1,2020-04-21,NULL
784,1410,Annual,3,2020-09-17,2021-09-17
792,7,Monthly,3,2021-01-27,2021-05-27
800,2386,Annual,3,2020-04-23,2021-04-23
801,140,Annual,3,2021-01-19,2022-04-19
803,1082,Quarter,3,2020-11-02,2021-02-02
804,78,Monthly,3,2021-01-21,2021-02-21
804,4158,Monthly,3,2021-05-01,2021-07-01
804,5839,Monthly,3,2021-11-22,2022-02-22
805,1502,Annual,3,2020-08-28,2021-08-28
810,2,Annual,3,2021-01-28,2022-02-28
811,3204,Quarter,3,2021-01-29,2021-04-29
816,773,Annual,3,2020-11-29,2022-02-28
817,2852,Annual,3,2020-04-15,2021-04-24
